band	Species	sex	Time period	year	Early v Late	weight	wing	tarsus	bill length	bill depth	bill width	PC1 body	PC1 beak	PC2 beak
17738	fortis	male	2	1992	Early	15.9	67	18.6	10.4	9.9	8.9	-0.776117989	0.731528313	-1.169983239
17754	fortis	unknown	2	1992	Early	14.7	64	18.5	9.8	9	8.8	-1.640736654	-0.213153562	-1.088416246
17759	fortis	male	2	1992	Early	18.9	68	20.6	11.6	9.7	10.3	1.125662344	2.255874007	-1.111604449
17786	fortis	male	2	1992	Early	16.9	71	19.7	11.7	9.6	9.1	0.737720591	1.069986313	-0.432356735
17791	fortis	female	2	1992	Early	15.7	67	18.4	10.8	9.8	8.9	-0.925390992	0.771449464	-0.90997236
17798	fortis	male	2	1992	Early	15.05	69	18.65	10.65	8.85	8.65	-0.587956703	-0.223737778	-0.488061946
17803	fortis	unknown	2	1992	Early	14.9	65	19.2	10.7	9.2	8.6	-1.054364068	0.006460176	-0.577231591
17809	fortis	male	2	1992	Early	14.8	66	20	12.8	10.6	9.7	-0.485390508	2.708593336	-0.522883168
17816	fortis	unknown	2	1992	Early	13	66	18.7	10.1	8.2	7.9	-1.570709435	-1.58317033	-0.163368675
17819	fortis	female	2	1992	Early	13.8	64	19.05	10.6	8.3	7.95	-1.563864686	-1.316539087	0.046685717
17907	fortis	unknown	2	1992	Early	13	63	18.1	10.7	9	8.7	-2.417359612	-0.04903247	-0.545346366
17916	fortis	female	2	1992	Early	12.8	65	17.1	9.7	7.4	7.9	-2.621730595	-2.300102292	-0.060882207
17936	fortis	male	2	1992	Early	17.5	69	19.2	11.5	9	8.8	0.259712813	0.276210881	-0.154549315
17940	fortis	female	2	1992	Early	17.5	66	19.3	11.1	9.8	9	-0.225544029	0.952762096	-0.793842054
17950	fortis	female	2	1992	Early	15.6	66	19.7	10.3	8.7	8.2	-0.45620231	-0.864618321	-0.400898612
17954	fortis	male	2	1992	Early	15.7	69	19.9	10.3	9.2	8.4	0.206946271	-0.298592801	-0.699625507
17964	fortis	male	2	1992	Early	14.2	68	19.1	10.9	9.5	9.2	-0.7301694	0.859427941	-0.880215783
17971	fortis	unknown	2	1992	Early	16.8	66	18.3	10.8	8.8	8.8	-0.902882396	-0.075738972	-0.458527791
17974	fortis	unknown	2	1992	Early	15	69	18.8	10.1	9	9	-0.522019715	0.063113271	-1.020955679
17983	fortis	unknown	2	1992	Early	13.7	68	19	10.9	9	8.6	-0.896841429	-0.086414384	-0.386809928
17991	fortis	male	2	1992	Early	19.05	69	20.15	12.7	10.65	9.8	1.106812867	2.812373105	-0.646624998
17993	fortis	male	2	1992	Early	18.8	72	20	11.8	10.5	9.6	1.508733694	2.250554274	-0.983269433
17999	fortis	female	2	1992	Early	14.9	67	18.6	11.5	9.5	9	-1.006206809	0.842236401	-0.45327621
14762	fortis	male	3	1993	Early	15.7	67	20	10.3	8.5	8.2	-0.099349083	-1.015065168	-0.320343646
14772	fortis	male	3	1993	Early	14.5	68	19.9	12	10	9.6	-0.2481218	1.932009444	-0.672015321
14879	fortis	female	3	1993	Early	15.8	68	18.3	10.7	9.2	8.6	-0.775048242	0.006460176	-0.577231591
14890	fortis	female	3	1993	Early	15.6	69	17.9	10.9	8.4	8.3	-0.848614996	-0.822617528	0.00086419
15291	fortis	male	3	1993	Early	18.5	69	19.7	11.7	10	9.4	0.747939729	1.655742611	-0.739475887
15383	fortis	male	3	1993	Early	15.7	68.3	19.77	11.7	9.87	9.07	0.014557325	1.244603296	-0.526505017
16195	fortis	male	3	1993	Early	17.25	71.5	19.2	11.8	9.3	8.5	0.649594325	0.303376979	0.035427503
16317	fortis	female	3	1993	Early	13.8	66	17.9	10.2	8.2	8.6	-1.799659333	-0.889704777	-0.449123507
16518	fortis	female	3	1993	Early	17.6	69	18.6	12	10	9.6	-0.027044021	1.932009444	-0.672015321
16531	fortis	male	3	1993	Early	15.85	68	19.25	11.65	9.95	9.65	-0.273081418	1.84112333	-0.868478171
16550	fortis	male	3	1993	Early	16.7	68.5	19	10.75	9.05	8.7	-0.117094225	0.002972314	-0.538018433
16803	fortis	male	3	1993	Early	16.5	68	19.6	12.1	9.85	9	0.057172983	1.278235246	-0.264647307
16816	fortis	male	3	1993	Early	18.5	70	18.8	11.4	9.8	8.9	0.462252643	0.944166326	-0.580372267
16859	fortis	female	3	1993	Early	15.25	64.5	18.25	10.4	8.65	8.2	-1.553776107	-0.873443889	-0.325826521
17014	fortis	female	3	1993	Early	14.9	69	18.3	10	8.2	8.5	-0.803166693	-1.042231266	-0.510320464
17188	fortis	male	3	1993	Early	13.9	68	18.8	9	7.9	7.7	-0.954078904	-2.315396583	-0.549463583
17315	fortis	female	3	1993	Early	17	68	19.4	11.3	9	9.3	0.068962154	0.6934096	-0.507764713
17380	fortis	male	3	1993	Early	16.45	70	19.4	11.85	9.2	8.85	0.300336277	0.574886332	-0.06717243
17388	fortis	male	3	1993	Early	18.2	67	18.8	11.9	10.2	9.3	-0.143658464	1.768807544	-0.661494415
17443	fortis	male	3	1993	Early	15.9	70	18.9	11	8.8	8.6	-0.08435067	-0.208075087	-0.251321613
17615	fortis	male	3	1993	Early	18.4	72	19	12.4	9.4	9	0.900421973	1.026088271	0.081401413
17717	fortis	male	3	1993	Early	18.4	70	19.95	11.55	9.65	9.1	1.032961382	1.064418809	-0.5348955
17834	fortis	female	3	1993	Early	15.2	65	18.7	10.9	9.1	8.8	-1.243475518	0.178717442	-0.524426891
17886	fortis	male	3	1993	Early	16.3	67	19.5	11.4	9.7	9.2	-0.219433888	1.153805507	-0.686104005
17894	fortis	female	3	1993	Early	15.45	67	19.1	11.35	9.2	8.65	-0.621519862	0.241047211	-0.244499694
17908	fortis	female	3	1993	Early	14.1	65	18.7	10.2	8.8	8.2	-1.49657322	-0.818181041	-0.496109444
17986	fortis	male	3	1993	Early	15.8	69	19.2	11.2	9	8.4	-0.131438181	-0.189964355	-0.124670401
18069	fortis	male	3	1993	Early	15.8	69.5	19.4	11.15	9.15	8.65	0.061297801	0.145863212	-0.33422765
18330	fortis	male	3	1993	Early	14.9	68	18.8	11	9	8.8	-0.723990084	0.132280163	-0.429216059
18356	fortis	unknown	3	1993	Early	14.5	66	18.1	11	9.1	8.2	-1.535341921	-0.362221621	-0.177475101
18357	fortis	male	3	1993	Early	15.5	69	18.9	10.5	9.3	8.3	-0.355347685	-0.260751292	-0.581366552
18358	fortis	unknown	3	1993	Early	15.5	68	20.2	11	9.3	8.7	0.136849878	0.262996232	-0.501378768
18377	fortis	male	3	1993	Early	16.9	69	19.8	12.2	10.6	9.6	0.431425236	2.440922272	-0.803813521
18379	fortis	male	3	1993	Early	14.5	66	17.95	10.85	9.1	8.3	-1.61278335	-0.310446635	-0.308544865
18401	fortis	unknown	3	1993	Early	15.1	67	18.8	11.5	10	9.4	-0.856933807	1.598170323	-0.849342585
18403	fortis	male	3	1993	Early	15.6	68	18.9	11.6	9.8	9.4	-0.51130029	1.47650962	-0.71385427
18404	fortis	female	3	1993	Early	15	69	18.2	10.2	8.5	8.4	-0.83178543	-0.853942909	-0.472616475
18405	fortis	unknown	3	1993	Early	15.2	66	19.6	10.8	9.3	9	-0.599865457	0.490286548	-0.757254686
18409	fortis	male	3	1993	Early	17.1	67	20.4	11.25	9.7	9.55	0.429285742	1.442965995	-0.938848119
18410	fortis	female	3	1993	Early	14.6	65	18.7	10.1	8.8	8.3	-1.38152881	-0.752012984	-0.599712533
18411	fortis	male	3	1993	Early	15.7	67	19	10.9	8.9	8.5	-0.615625276	-0.256592008	-0.297862705
18414	fortis	unknown	3	1993	Early	15.4	67	18.8	10.6	9.1	9	-0.787907161	0.282267413	-0.786566418
18417	fortis	male	3	1993	Early	16.6	68	19.8	10.9	9.3	9.1	0.183437103	0.614026893	-0.750991077
18419	fortis	female	3	1993	Early	16	68	18.9	10.5	8.9	8.5	-0.419264762	-0.371736583	-0.5175961
18430	fortis	unknown	3	1993	Early	16.9	68	20.2	11	9.9	9.2	0.458974226	1.189107779	-0.986392366
18435	fortis	unknown	3	1993	Early	14.9	67	19.8	9.6	8.6	8.1	-0.386675378	-1.236298952	-0.696484831
18437	fortis	female	3	1993	Early	14.2	68	17.1	10.8	9	8.9	-1.762721786	0.169662076	-0.587752497
18438	fortis	unknown	3	1993	Early	14.6	67	19.8	10.5	9.3	8.3	-0.455702024	-0.260751292	-0.581366552
18439	fortis	female	3	1993	Early	16.2	65	18.1	11.2	9.5	8.9	-1.323152413	0.660923769	-0.569406516
18445	fortis	male	3	1993	Early	14.5	65	19	9.7	7.8	7.6	-1.249654834	-2.284071202	-0.075982918
18446	fortis	unknown	3	1993	Early	14.5	63	18.5	9.3	8.7	8	-1.865715905	-1.342388161	-0.85289262
18447	fortis	female	3	1993	Early	15.8	66.5	18.6	10.3	8.75	8.55	-0.888607615	-0.494666905	-0.591381444
18450	fortis	male	3	1993	Early	15.9	68	19.8	10.1	8.7	8.6	0.022374929	-0.542373804	-0.70544427
18453	fortis	male	3	1993	Early	20.05	72.5	21.15	12.15	10.9	9.75	2.479543085	2.794630773	-1.025117254
18454	fortis	male	3	1993	Early	17	72	19.5	11	9	8.6	0.836435721	-0.05762824	-0.331876579
18456	fortis	male	3	1993	Early	16.4	66.3	19.8	10.97	9.03	8.63	-0.166815189	-0.015210796	-0.375040751
18459	fortis	male	3	1993	Early	19.9	70	19.05	12.15	10.95	10.4	0.913446039	3.449444792	-1.361609306
18463	fortis	female	3	1993	Early	16.7	67	20.1	10.45	9.3	8.4	0.182367356	-0.180190162	-0.657502966
18464	fortis	male	3	1993	Early	16.15	70	20.15	11.65	9.35	9	0.618516776	0.772580481	-0.310459962
18475	fortis	unknown	3	1993	Early	16.9	68	20	10.6	9	8.8	0.355718988	0.017135588	-0.648949455
18476	fortis	male	3	1993	Early	16.6	70	20.7	11.4	9	9	1.006008651	0.43733314	-0.306822144
18477	fortis	female	3	1993	Early	15.5	68	18.4	10.6	9.6	8.4	-0.792447269	0.088659324	-0.695935392
18480	fortis	unknown	3	1993	Early	15.5	64	19.9	10.7	9.2	8.4	-0.733878928	-0.183448226	-0.479892111
18483	fortis	male	3	1993	Early	16.4	68	20	11.2	9	8.9	0.240674578	0.284806651	-0.368019102
18484	fortis	male	3	1993	Early	14.7	69	19.7	11	8.9	8.9	-0.126397787	0.15201094	-0.437608317
18488	fortis	female	3	1993	Early	15	69	19.4	9.8	9.2	8.5	-0.212253999	-0.347569319	-1.022961991
18493	fortis	male	3	1993	Early	14.7	66	18.5	10.9	8.9	8.7	-1.28281368	-0.066683606	-0.395202185
18494	fortis	male	3	1993	Early	17.4	68	19.8	11.2	9.7	9.4	0.367508159	1.286141621	-0.893310183
18496	fortis	male	3	1993	Early	16.3	67	18.9	10.9	9.4	8.7	-0.529199603	0.309433512	-0.5965896
18579	fortis	female	3	1993	Early	14.7	69	19.1	10.7	9.7	9.1	-0.436163503	0.857348299	-1.021967707
18584	fortis	male	3	1993	Early	13.9	68	18.6	9.9	8.4	8.3	-1.057334142	-1.110478965	-0.548469299
18587	fortis	female	3	1993	Early	16.4	66	19.8	10.9	9.3	8.8	-0.220503635	0.329164289	-0.604981857
18597	fortis	female	3	1993	Early	16.5	67	19.9	11.7	10.5	9.8	0.033094354	2.411676533	-1.135542262
15346	fortis	male	3	1994	Early	17.2	72	19.3	11.8	9.4	8.9	0.779198247	0.758417208	-0.19952894
15395	fortis	male	3	1994	Early	17.5	70	20.2	10.8	9.5	8.9	0.954950493	0.545779194	-0.789139912
15706	fortis	male	3	1994	Early	14.1	68	18.5	10	8.5	8.4	-1.062943998	-0.911515197	-0.582483173
16319	fortis	male	3	1994	Early	16.5	69	19.1	10.8	9	8.9	-0.022003627	0.169662076	-0.587752497
16374	fortis	male	3	1994	Early	16.4	69	19.5	10.6	9	8.8	0.161497968	0.017135588	-0.648949455
16398	fortis	female	3	1994	Early	15.6	66	18.7	12.1	9.8	8.7	-0.972478503	0.95576093	-0.098499345
16514	fortis	male	3	1994	Early	17.1	68	19.7	10.8	9.5	8.9	0.246853894	0.545779194	-0.789139912
16553	fortis	male	3	1994	Early	17.1	69	18.7	10.9	9.2	8.9	-0.090460812	0.348895067	-0.613374114
16565	fortis	female	3	1994	Early	16.7	67	18.9	12.1	10	9.4	-0.437164075	1.770887186	-0.519742492
16583	fortis	male	3	1994	Early	14.5	67	18.5	10.3	8.5	8	-1.149869957	-1.20497357	-0.223004166
17067	fortis	female	3	1994	Early	15.4	68	18.6	10.8	9.1	8.5	-0.712200912	-0.134931305	-0.43335102
17160	fortis	male	3	1994	Early	16.5	72	19.9	10.9	9.3	8.8	0.927901789	0.329164289	-0.604981857
17386	fortis	male	3	1994	Early	16.8	71	18.1	11.1	9.9	9.6	-0.111330199	1.597710727	-1.126137978
17436	fortis	female	3	1994	Early	15.1	67	19	10.7	8.3	8.4	-0.753678568	-0.860459038	-0.117394765
17490	fortis	male	3	1994	Early	17.3	69	19.9	10.7	9.9	9	0.575088384	0.912840945	-1.053852932
17491	fortis	female	3	1994	Early	15.5	67	19.1	10.6	8.9	8.4	-0.610015421	-0.437904641	-0.413993011
17653	fortis	female	3	1994	Early	16.6	70	19.5	11	8.4	8.5	0.386477219	-0.603922982	-0.041541941
17665	fortis	male	3	1994	Early	13.9	69	19.6	9.5	8.1	7.5	-0.362096463	-2.21092742	-0.258012324
17797	fortis	female	3	1994	Early	15.4	67	18.3	10.3	8.5	8.4	-1.046045257	-0.825156766	-0.417683126
17835	fortis	male	3	1994	Early	16.3	68	19.7	10.7	9.1	8.3	0.062782838	-0.353625851	-0.390944888
17873	fortis	male	3	1994	Early	15.5	70	19.7	11.2	9.3	8.6	0.236634756	0.225614318	-0.34284233
17874	fortis	male	3	1994	Early	16	69	18.8	10.7	9.1	8.7	-0.291930895	0.026190954	-0.585623849
17953	fortis	male	3	1994	Early	17.5	69	19.6	11.1	9.5	8.8	0.46622329	0.537183424	-0.575670125
17955	fortis	male	3	1994	Early	18.5	68	19.8	11.5	10	9.5	0.620605862	1.693124524	-0.898012325
18000	fortis	unknown	3	1994	Early	13.4	67	17.7	10.8	7.7	7.5	-1.815988613	-2.137601245	0.617231142
18013	fortis	unknown	3	1994	Early	9.8	57	16.4	7.8	6.2	6.5	-5.105082286	-5.079078922	0.060090322
18030	fortis	male	3	1994	Early	14.7	68	18.7	10.3	8.8	8.5	-0.821635467	-0.504532294	-0.587185315
18039	fortis	male	3	1994	Early	16.4	65	20	10.6	9	8.8	-0.296209883	0.017135588	-0.648949455
18080	fortis	male	3	1994	Early	16.1	70.5	19.95	11.1	9.3	8.5	0.59323784	0.101873973	-0.349105939
18390	fortis	male	3	1994	Early	19.8	71	20	12.3	10.5	9.5	1.559861027	2.299530792	-0.659932949
18607	fortis	female	3	1994	Early	21.5	70	20.3	11	10	9.7	1.926933392	1.739102208	-1.27001855
18637	fortis	male	3	1994	Early	16	68	18.7	10.8	9	9	-0.522520001	0.264616277	-0.636422237
18638	fortis	male	3	1994	Early	15.2	69	19.5	11	9.1	8.7	-0.114608616	0.112549385	-0.420823802
18640	fortis	male	3	1994	Early	15.9	69	19	10.8	8.7	8.8	-0.211684538	-0.150962395	-0.418250308
18645	fortis	female	3	1994	Early	14.8	66	16.9	10	8.9	8.3	-2.085846706	-0.705575704	-0.694923364
18647	fortis	female	3	1994	Early	12.7	64	17.7	9.1	8	7.5	-2.513935248	-2.401295419	-0.437468237
18653	fortis	male	3	1994	Early	15.9	68	19.2	11.2	8.8	8.4	-0.287390786	-0.340411202	-0.044115435
18677	fortis	female	3	1994	Early	19.2	70	20.9	12.6	10.5	9.4	1.707494822	2.290935022	-0.446463162
18697	fortis	female	3	1994	Early	16.7	71	19	10.9	9.7	8.6	0.330309492	0.440149581	-0.668752308
18699	fortis	male	3	1994	Early	18.1	69	19.8	11.6	10.5	9.6	0.707531821	2.192981987	-1.093136131
18708	fortis	male	3	1994	Early	15.9	69	19.5	10.3	9.4	8.7	0.046453558	0.136716649	-0.926189693
18733	fortis	female	3	1994	Early	15.3	69	19.2	10	8.3	8.3	-0.246482592	-1.156916245	-0.453258467
18736	fortis	male	3	1994	Early	16.37	67.3	18.8	10.07	9.3	8.57	-0.511032559	-0.128155367	-0.94898825
18738	fortis	female	3	1994	Early	15.2	66	19.3	10.2	9	8.7	-0.754748315	-0.192963189	-0.82001311
18763	fortis	female	3	1994	Early	15.8	66	18	11.6	8.8	8.3	-1.287854074	-0.320220828	0.2242877
18766	fortis	female	3	1994	Early	16.8	66	19.1	11.1	9.9	9	-0.489861442	1.02798552	-0.834119537
18789	fortis	female	3	1994	Early	13.6	66	19	9.9	8.4	7.9	-1.277773285	-1.49029577	-0.353790338
18795	fortis	female	3	1994	Early	16.23	67	19.33	11.2	9.53	8.87	-0.323307058	0.655004535	-0.566888839
18839	fortis	female	3	1994	Early	15.7	66	18.7	10.6	9.2	8.5	-0.949469621	-0.117280169	-0.5834952
18843	fortis	male	3	1994	Early	16.9	65	19.6	11.3	9.1	8.8	-0.38767595	0.293862017	-0.304693496
18849	fortis	female	3	1994	Early	15.3	68	19.1	10.5	9.5	8.7	-0.477071698	0.26951236	-0.856600478
18860	fortis	female	3	1994	Early	14.2	64	17.9	10	8.6	8.5	-2.065546779	-0.741337572	-0.671430396
16144	fortis	female	3	1995	Early	18.6	67	19.6	11.3	10.4	9.4	0.361398018	1.841491729	-1.120319214
17771	fortis	female	3	1995	Early	17.5	66	19.4	11.7	9.8	9	-0.17391641	1.125478959	-0.464241961
17969	fortis	male	3	1995	Early	14.6	65	18.5	9.9	8.8	8.6	-1.484784049	-0.524722668	-0.855588451
14901	fortis	male	3	1996	Early	16	69	19.5	10.1	9.3	8.8	0.06946244	0.098875139	-1.044448648
17403	fortis	female	3	1996	Early	14.1	64	18.1	9.7	8	8.1	-1.985300423	-1.658853349	-0.399886584
17890	fortis	female	3	1996	Early	15.5	67	18.8	11.3	8.7	8.6	-0.764898279	-0.196940079	-0.046244084
18078	fortis	male	3	1996	Early	18.3	71	20.3	11.2	9.6	9.8	1.369610655	1.590735003	-1.04771166
18084	fortis	male	3	1996	Early	17.1	69	20.4	11.3	9.4	8.9	0.787208716	0.614486489	-0.474195685
18655	fortis	male	3	1996	Early	14.4	68	18.9	9.9	7.9	7.9	-0.787406875	-1.866412887	-0.152402924
18683	fortis	female	3	1996	Early	15.6	68	19.2	10.6	9.7	9	-0.356417433	0.733607954	-1.028231315
18802	fortis	female	3	1996	Early	12.75	63.5	17.9	9.4	7.45	7.4	-2.488656312	-2.823620018	-0.002472294
14970	fortis	female	3	1997	Early	15.1	61	17.4	9.8	8.5	7.1	-2.653489399	-2.2034921	-0.059643249
17411	fortis	male	4	1999	Early	15	67	18.1	10	9.1	8.5	-1.241336024	-0.365220455	-0.87281781
17876	fortis	male	4	1999	Early	13.7	63	18.2	10	7.8	7.9	-2.204669819	-1.912850167	-0.057192092
18190	fortis	female	4	1999	Early	15.3	64	18.2	10	8.8	8.5	-1.657566219	-0.590890725	-0.751985362
18616	fortis	female	4	1999	Early	15.7	63	19	11.3	9	9.2	-1.331471224	0.598455399	-0.459094973
18641	fortis	female	4	1999	Early	14.9	68	19.2	10	8.4	7.9	-0.517479607	-1.461509626	-0.298856989
18713	fortis	female	4	1999	Early	14.1	66	19.1	10.5	8.9	8.2	-1.111101256	-0.656599187	-0.37158688
18894	fortis	female	4	1999	Early	16.6	68	20.4	11.4	8.9	9.1	0.493202819	0.457063918	-0.315214401
18895	fortis	female	4	1999	Early	14.4	65	19.4	10.6	8.3	8.2	-1.066153239	-1.079153584	-0.074988634
18897	fortis	female	4	1999	Early	13.7	62	18.8	10.3	8.8	8.8	-2.07386559	-0.219669691	-0.733194536
18901	fortis	female	4	1999	Early	13.6	66	18.6	10.4	8.1	7.9	-1.484283762	-1.572035322	0.041708855
18973	fortis	female	4	1999	Early	14.8	67	18.9	10.8	8.6	8.3	-0.874332833	-0.700956825	-0.134624125
18984	fortis	female	4	1999	Early	14	66	18.7	9.4	7.9	7.6	-1.340620615	-2.29520621	-0.281060447
17395	fortis	male	4	2001	Early	14.4	67	19.4	11.7	10	8.8	-0.708230265	1.086017403	-0.447457446
17831	fortis	female	4	2001	Early	15.7	64	17.9	9.6	7.8	7.8	-1.720413549	-2.122948943	-0.228255747
18153	fortis	female	4	2001	Early	17.4	65	19.4	10.8	9.2	8.6	-0.375886779	0.03524632	-0.522298243
18155	fortis	female	4	2001	Early	19	66	18.8	10.9	10	9.3	-0.138548895	1.330499259	-1.130272938
18186	fortis	female	4	2001	Early	17.7	68	18.9	10.8	8.9	8.9	-0.028113768	0.094438653	-0.547475014
18998	fortis	male	4	2001	Early	19.15	68.5	18.75	11.05	9.9	9	0.317554336	1.013592448	-0.861586211
18693	fortis	female	4	2002	Early	15.2	67	17.3	10.3	8.55	8.05	-1.608339214	-1.119884758	-0.267477777
18907	fortis	unknown	4	2002	Early	15.4	63	17.9	10.7	8.4	7.7	-1.968401682	-1.449915022	0.183015933
19109	fortis	male	4	2002	Early	17.6	71	20.6	12	9.7	8.8	1.363431339	0.946705564	-0.161824951
19110	fortis	unknown	4	2002	Early	15.6	68	19	11.3	10	9.4	-0.459672671	1.540598036	-0.959209283
19133	fortis	male	4	2002	Early	16.45	69.5	19.95	11.8	10.35	9.5	0.49480744	2.042764938	-0.874183469
19138	fortis	male	4	2002	Early	15.1	68	19.1	10.2	9.1	8.5	-0.523089462	-0.307648167	-0.762951113
19150	fortis	unknown	4	2002	Early	14.8	66	18.4	10	8.1	8.1	-1.311432417	-1.497271494	-0.275364021
19153	fortis	male	4	2002	Early	14	66	19.8	8.9	8.1	7.3	-0.772716803	-2.573552685	-0.490272937
19156	fortis	male	4	2002	Early	15.5	68	18.9	10.3	8.4	8.7	-0.534309172	-0.615517586	-0.523414864
19157	fortis	male	4	2002	Early	14	70	19.1	10	8.3	8.3	-0.41826419	-1.156916245	-0.453258467
19158	fortis	male	4	2002	Early	15.7	68	18.9	10.7	9	8.5	-0.488291408	-0.238940872	-0.448006885
19160	fortis	unknown	4	2002	Early	14.7	67	19.3	10.3	8.6	8	-0.690831238	-1.129750147	-0.263281649
19161	fortis	male	4	2002	Early	14.8	67	18.7	9.8	8.6	8.2	-0.977588072	-1.083772463	-0.635287873
19163	fortis	male	4	2002	Early	17.6	71	18.3	11	10.2	9.1	0.175996095	1.319823848	-1.058555075
19166	fortis	unknown	4	2002	Early	17	66	20.4	10.7	9.1	8.7	0.227315373	0.026190954	-0.585623849
19169	fortis	male	4	2002	Early	19.2	72	20.4	10.9	9.7	9.2	1.807279699	1.009874788	-0.960770749
19170	fortis	male	4	2002	Early	18.75	71	19.3	12.5	9.85	8.95	0.956874431	1.34590272	-0.020579041
19173	fortis	male	4	2002	Early	14.1	68	20.3	9.4	8	7.7	-0.133646851	-2.125028585	-0.37000767
19175	fortis	female	4	2002	Early	14.1	66	18.8	10	8.8	8.6	-1.265984114	-0.495936524	-0.800655102
19176	fortis	male	4	2002	Early	14	64	18.5	10.1	9.1	8.8	-1.801798828	-0.051571708	-0.963893682
19177	fortis	unknown	4	2002	Early	16	67	19.3	10.2	8.5	8.5	-0.391715772	-0.758988708	-0.521286215
19178	fortis	female	4	2002	Early	14.3	65	19.8	10.7	8.9	8.4	-0.882651644	-0.409118497	-0.359059662
19179	fortis	unknown	4	2002	Early	14.9	64	19	9.6	8	7.6	-1.336580793	-2.162410499	-0.211471233
19180	fortis	male	4	2002	Early	15.85	65.5	18.7	10.9	9.05	8.45	-1.004437041	-0.191233974	-0.333944059
19181	fortis	male	4	2002	Early	15.5	66	19.95	10.85	8.75	8.2	-0.350142144	-0.668682819	-0.118903935
19183	fortis	unknown	4	2002	Early	14	66	17.3	9.8	8.6	8.4	-2.063407285	-0.893864061	-0.732627353
19185	fortis	unknown	4	2002	Early	15.1	62	18.4	9.8	8.8	8.1	-1.958251719	-1.028279818	-0.667173099
19187	fortis	female	4	2002	Early	17.15	70	19.5	11.7	9.7	8.9	0.513026071	0.955301334	-0.375294738
19189	fortis	unknown	4	2002	Early	15.4	65	17	9.6	8.2	7.8	-2.075127282	-1.822055249	-0.389365679
19190	fortis	male	4	2002	Early	14.8	67	19	10.2	8.3	8.2	-0.822705214	-1.194298159	-0.294722029
19196	fortis	male	4	2002	Early	16.1	69	19.2	10.9	9.1	8.7	-0.062411535	0.083763241	-0.475757151
19301	fortis	unknown	4	2002	Early	15	67	19.6	10.5	8.8	8.3	-0.466921734	-0.636868409	-0.379979137
19305	fortis	male	4	2002	Early	15.17	68	18.97	9.87	8.47	8.13	-0.57409915	-1.227880554	-0.510404983
19306	fortis	male	4	2002	Early	19.65	71.5	20.15	11.65	9.7	9.05	1.692269877	1.083339564	-0.475766022
19308	fortis	male	4	2002	Early	14.7	66	19	10.4	8.6	7.9	-1.024675583	-1.195918204	-0.15967856
19309	fortis	unknown	4	2002	Early	14.15	66	17.75	10.7	9.05	8.34	-1.796569675	-0.353255882	-0.390274043
19330	fortis	female	4	2002	Early	13.1	63	18.4	9	7.8	7.6	-2.239467872	-2.485574208	-0.46051636
19333	fortis	male	4	2002	Early	15.7	69	20.4	10.2	8.4	8	0.465084368	-1.308983138	-0.237660032
19335	fortis	male	4	2002	Early	14.9	68	18.9	9.9	8	8	-0.672362464	-1.696235263	-0.241350147
19336	fortis	unknown	4	2002	Early	16.2	67	18.3	10.7	9	8.4	-0.861974201	-0.333895073	-0.399337145
19337	fortis	male	4	2002	Early	14.7	69	19.8	10.4	9	8.6	-0.074770168	-0.230345102	-0.661476672
19338	fortis	male	4	2002	Early	18.95	70	19.8	12	11.15	9.9	1.082068805	3.081941418	-1.281215595
19339	fortis	male	4	2002	Early	15.9	68	18.9	11.1	9.1	8.9	-0.442273644	0.331243931	-0.463229934
19350	fortis	male	4	2002	Early	17.8	71	20.3	11.1	9.5	9	1.254566245	0.727091826	-0.673009605
19351	fortis	female	4	2002	Early	17.6	68.5	18.4	11.35	9.55	9.1	-0.219780003	0.931623098	-0.604484715
19355	fortis	female	4	2002	Early	15.6	67	18.1	10.7	9	8.2	-1.103282732	-0.523803476	-0.301997665
19356	fortis	unknown	4	2002	Early	15.5	68	19.6	10.2	9	8.2	-0.172915837	-0.667734194	-0.576664409
19358	fortis	male	4	2002	Early	18.7	72	19.9	11.5	9	8.4	1.434097193	-0.103605923	0.040129645
19359	fortis	female	4	2002	Early	16.9	68	19.8	11	8.8	8.6	0.252463749	-0.208075087	-0.251321613
19360	fortis	unknown	4	2002	Early	14.3	67	18.2	9.5	8	7.7	-1.350770578	-2.096242441	-0.315074322
19361	fortis	male	4	2002	Early	14.7	67	18.1	9.6	8	8	-1.31036267	-1.782593694	-0.406150193
19363	fortis	male	4	2002	Early	15.5	69	18.1	10.6	9.1	8.6	-0.76836864	-0.097549391	-0.591887457
19365	fortis	male	4	2002	Early	17.9	66	19	10.6	9.1	8.3	-0.288391359	-0.382411995	-0.445878237
19367	fortis	male	4	2002	Early	17.85	68.5	19.7	10.75	9.15	8.9	0.508901253	0.26810414	-0.675635396
19369	fortis	male	4	2002	Early	14.5	69	19.2	10.7	9.2	9	-0.430553648	0.386276981	-0.771910552
19375	fortis	unknown	4	2002	Early	13.8	65	17.9	9.8	7.9	7.9	-1.97862082	-1.895199031	-0.207336272
19376	fortis	unknown	4	2002	Early	14.6	66	17.8	10.8	8.4	8.5	-1.667215897	-0.661495269	-0.151408639
19378	fortis	unknown	4	2002	Early	15.5	68	19.5	11.9	8.6	8.7	-0.224543457	-0.004492439	0.274963752
19380	fortis	female	4	2002	Early	16	66	19.1	11.4	8.4	8.4	-0.673932498	-0.583732608	0.226861194
19383	fortis	male	4	2002	Early	16.9	69	19.25	11.15	9.6	8.85	0.14747333	0.67427702	-0.612815804
