band	Species	sex	Time period	year	Early v Late	weight	wing	tarsus	bill length	bill depth	bill width	PC1 body	PC1 beak	PC2 beak
14655	fortis	male	1	1987	Early	17.96	68.23	19.36	11.33	10.29	9.15	0.310357516	1.529996304	-0.937859628
14657	fortis	male	1	1987	Early	17.39	70.15	19.75	10.25	10.2	9.21	0.724160659	1.208377391	-1.524091905
14720	fortis	male	1	1987	Early	17.08	68.98	19.15	12	9.52	9.11	0.133682469	1.105661426	-0.240201676
14841	fortis	female	1	1987	Early	14.19	66.66	18.4	9.9	8.87	8.16	-1.333672016	-0.889864757	-0.669635832
15004	fortis	male	1	1987	Early	17	68.65	19.1	10.5	9.63	8.56	0.030404263	0.234366929	-0.84082357
15021	fortis	female	1	1987	Early	17.39	66.65	20.05	11	10.52	10.06	0.252678312	2.472099134	-1.654672525
15047	fortis	female	1	1987	Early	15.14	65.15	18.1	10.35	9.11	8.26	-1.54020234	-0.484836692	-0.567771461
15110	fortis	female	1	1987	Early	15.44	65.66	19.2	11.55	9.43	8.76	-0.812001523	0.576082994	-0.280807921
15301	fortis	male	1	1987	Early	15.64	68.15	19.55	11.8	8.88	8.16	-0.139672989	-0.335405683	0.370070048
15306	fortis	male	1	1987	Early	14.59	66.65	19.55	10.95	8.77	8.16	-0.649708481	-0.662833671	-0.052558186
15332	fortis	male	1	1987	Early	16.04	68.65	19.1	10.7	8.97	8.16	-0.190481004	-0.584352183	-0.270446524
5614	fortis	male	2	1988	Early	18.8	71	19.2	11.8	9.9	8.5	0.916751253	0.75471752	-0.206237394
10305	fortis	male	2	1988	Early	18.58	70	20.05	11.82	9.9	9.67	1.126004989	1.871438903	-0.764686684
13231	fortis	female	2	1988	Early	19.83	68.67	18.97	11.13	10	9.37	0.618018949	1.463175331	-1.037995054
13687	fortis	female	2	1988	Early	14.97	65.5	18.7	10.67	8.77	7.9	-1.206915203	-0.990315796	-0.079830239
14042	fortis	female	2	1988	Early	14.9	67	18	10.1	8.8	9.1	-1.315972525	0.007620626	-0.989070454
14609	fortis	male	2	1988	Early	16.76	69.33	20	11.29	9.71	8.75	0.561525331	0.702369185	-0.531544606
14629	fortis	female	2	1988	Early	15.1	66	18.2	10.2	9.4	8.4	-1.345661009	-0.176932098	-0.835113821
14633	fortis	male	2	1988	Early	17.11	67.84	19.46	11.29	9.78	8.95	0.096614658	0.944933984	-0.657078325
14649	fortis	male	2	1988	Early	18.4	69	19.1	11.7	11.1	9.8	0.415165132	2.863017073	-1.37720716
14656	fortis	male	2	1988	Early	16.8	70	19.2	11.9	10.17	9.5	0.277612126	1.936148919	-0.746750651
14669	fortis	female	2	1988	Early	16.11	68.83	19.15	11.34	9.07	8.6	-0.11634791	0.092901045	-0.173297431
14677	fortis	female	2	1988	Early	18.15	65.5	19.1	11.6	9.65	9.1	-0.268722278	1.078811881	-0.507428825
14681	fortis	female	2	1988	Early	17.46	70.33	19.8	9.94	8.96	8.35	0.798293753	-0.630236236	-0.776384733
14688	fortis	male	2	1988	Early	15.9	67	19.1	11.3	9.7	8.9	-0.517979893	0.840156759	-0.595028133
14689	fortis	male	2	1988	Early	17.5	67	19.83	11.2	9.96	8.93	0.22704384	1.035437777	-0.76928386
14741	fortis	female	2	1988	Early	13.91	66.33	17.95	11.04	9.06	8.45	-1.689478463	-0.14341103	-0.261065119
14744	fortis	male	2	1988	Early	19.05	67.5	19.75	10.4	9.35	8.55	0.63186016	-0.014540221	-0.778112992
14746	fortis	female	2	1988	Early	18	71	20	11	9.8	8.9	1.145701151	0.829021751	-0.800105663
14752	fortis	male	2	1988	Early	17.2	68	18.9	11.9	10	9.5	-0.143158178	1.808269099	-0.67827893
14763	fortis	male	2	1988	Early	16.56	68.83	19.2	10.19	8.81	8.55	0.013005869	-0.481197609	-0.675974617
14777	fortis	male	2	1988	Early	18.6	70	19.1	11.6	10.2	9.4	0.640144383	1.777403314	-0.874964202
14781	fortis	male	2	1988	Early	18.9	69	18.9	11.1	10	9.1	0.426954303	1.198163145	-0.92306676
14783	fortis	male	2	1988	Early	18.31	68.33	19.45	11.39	9.86	9.1	0.455249609	1.176330169	-0.707371572
14788	fortis	male	2	1988	Early	15.3	67	18.9	12	9	8.1	-0.759288423	-0.244537808	0.46080561
14807	fortis	male	2	1988	Early	18.03	69.67	19.37	11.67	9.73	9.17	0.589331036	1.225608861	-0.535266286
14811	fortis	male	2	1988	Early	15.5	65.33	19.17	10.33	8.9	8.77	-0.872741771	-0.164296684	-0.742391092
14812	fortis	female	2	1988	Early	17.7	64	18.9	11.05	10.15	9.15	-0.743959716	1.344082308	-1.035284529
14825	fortis	male	2	1988	Early	15.7	67	19.1	10.7	9.6	8.7	-0.563997657	0.402308071	-0.787011263
14831	fortis	male	2	1988	Early	17.51	70.84	19.44	10.84	8.66	8.65	0.715209123	-0.311968609	-0.307161365
14833	fortis	female	2	1988	Early	15.46	66.84	18.4	10.09	8.56	8	-1.009246146	-1.220290418	-0.362530688
14839	fortis	female	2	1988	Early	16.41	64.84	18.64	11.94	9.57	8.75	-1.024678455	0.784166327	-0.118089363
14846	fortis	female	2	1988	Early	15.11	65.33	18.95	10.04	9.01	8.4	-1.076057173	-0.51636128	-0.765924996
14849	fortis	male	2	1988	Early	16.16	67.33	19.74	11.34	9.81	9.2	-0.068682745	1.219279586	-0.763369245
14854	fortis	male	2	1988	Early	18.75	70.5	18.85	10.75	9.2	9	0.635069401	0.400670053	-0.744443878
14867	fortis	female	2	1988	Early	14.66	66.33	18.69	10.09	8.77	7.8	-1.134867465	-1.252229631	-0.349773922
14872	fortis	unknown	2	1988	Early	16.6	69	17.7	9.7	9.1	8.7	-0.721781415	-0.261670484	-1.134957337
14939	fortis	male	2	1988	Early	18.05	67.5	18.2	10.2	8.45	8.25	-0.398456759	-1.033985923	-0.379473123
14942	fortis	male	2	1988	Early	18.41	69.33	19.2	11.19	9.81	8.95	0.52815093	0.938714868	-0.724094918
14958	fortis	female	2	1988	Early	17.26	66.84	19.1	11.29	9.56	8.45	-0.233692935	0.304671447	-0.325119161
14963	fortis	unknown	2	1988	Early	16.8	68	19.1	11	9.8	8.8	-0.131938468	0.73406755	-0.751435923
14978	fortis	female	2	1988	Early	14.45	66	17.5	9.7	8.1	7.5	-1.856612077	-2.153355133	-0.148145627
14983	fortis	female	2	1988	Early	12.5	63	16.77	8.83	7.32	7.5	-3.219051358	-2.990537286	-0.311901395
14987	fortis	unknown	2	1988	Early	17.7	68	18.9	11.7	9.8	9.3	-0.028113768	1.410341562	-0.610251181
15003	fortis	male	2	1988	Early	16.41	68.33	19	11.94	10.01	9.1	-0.214243436	1.447489094	-0.465654378
15005	fortis	male	2	1988	Early	17.51	69.84	19.5	11.29	8.71	8.15	0.567224208	-0.619590256	0.163248664
15018	fortis	female	2	1988	Early	14.46	62.33	17.99	9.64	8.71	8.05	-2.258124512	-1.189515829	-0.694481852
15025	fortis	female	2	1988	Early	20.16	67.83	20.95	11.29	10.37	9.75	1.565847472	2.148385792	-1.284073395
15027	fortis	female	2	1988	Early	16.67	66.75	17.97	10.37	9.17	8.8	-0.968943971	0.078807277	-0.843767878
15049	fortis	male	2	1988	Early	15.51	68.33	18.45	11.54	9.61	8.9	-0.70527528	0.841542423	-0.426938361
15053	fortis	male	2	1988	Early	16.29	67.09	20.05	12.01	9.86	9.24	0.078323664	1.487740141	-0.434922445
15065	fortis	female	2	1988	Early	16.86	68.83	19.8	11.09	9.11	8.9	0.391798231	0.335887659	-0.472751017
15079	fortis	female	2	1988	Early	14.36	67.33	18.3	9.89	8.36	8.05	-1.226280339	-1.380832452	-0.41617729
15099	fortis	male	2	1988	Early	16.51	65.84	19.15	11.49	10.11	9.05	-0.559407228	1.34569777	-0.728797061
15123	fortis	female	2	1988	Early	15.91	66.94	19.25	11.14	8.71	8.4	-0.448975265	-0.425383969	-0.04082571
15126	fortis	unknown	2	1988	Early	14.6	67	17.9	10.2	9.2	8.3	-1.43662679	-0.422333146	-0.705889115
15130	fortis	female	2	1988	Early	16.3	65.5	19	10.9	9.3	8.35	-0.746014214	-0.098129616	-0.385968026
15140	fortis	male	2	1988	Early	17.5	70.5	19.25	11.3	10	8.95	0.553968853	1.11330413	-0.740195452
15143	fortis	male	2	1988	Early	17.35	68	18.2	10	8.7	8.65	-0.47003819	-0.523682847	-0.784712489
15150	fortis	male	2	1988	Early	18.71	66.83	19.39	10.94	9.87	8.75	0.247866335	0.72197516	-0.7882553
15153	fortis	male	2	1988	Early	16.53	65.7	18.3	10.57	9.07	9	-1.018694823	0.251064543	-0.790963178
